edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
deng-l--tan-c#vector_borne,deng-l--tan-c,deng-l,tan-c,vector_borne,4,"Deng, Lu","Tan, Cheong Huat",Environmental Health Institute,Nanyang Technological University,Singapore,Singapore
dickens-b--lee-c#vector_borne,dickens-b--lee-c,dickens-b,lee-c,vector_borne,4,"Dickens, Borame","Lee, Caleb",National University of Singapore,"Agency for Science, Technology and Research",Singapore,Singapore
dickens-b--ng-y#vector_borne,dickens-b--ng-y,dickens-b,ng-y,vector_borne,4,"Dickens, Borame","Ng, Youming",National University of Singapore,KK Women's and Children's Hospital,Singapore,Singapore
dickens-b--sim-s#vector_borne,dickens-b--sim-s,dickens-b,sim-s,vector_borne,4,"Dickens, Borame","Sim, Shuzhen",National University of Singapore,Environmental Health Institute,Singapore,Singapore
dickens-b--tan-c#vector_borne,dickens-b--tan-c,dickens-b,tan-c,vector_borne,4,"Dickens, Borame","Tan, Cheong Huat",National University of Singapore,Nanyang Technological University,Singapore,Singapore
dickens-b--tan-l#vector_borne,dickens-b--tan-l,dickens-b,tan-l,vector_borne,4,"Dickens, Borame","Tan, Li Yun",National University of Singapore,,Singapore,United States
lee-c--lim-j#vector_borne,lee-c--lim-j,lee-c,lim-j,vector_borne,4,"Lee, Caleb","Lim, Jue Tao","Agency for Science, Technology and Research",Nanyang Technological University,Singapore,Singapore
lee-c--ng-l#vector_borne,lee-c--ng-l,lee-c,ng-l,vector_borne,4,"Lee, Caleb","Ng, Lee Ching","Agency for Science, Technology and Research",Environmental Health Institute,Singapore,Singapore
lee-c--ng-y#vector_borne,lee-c--ng-y,lee-c,ng-y,vector_borne,4,"Lee, Caleb","Ng, Youming","Agency for Science, Technology and Research",KK Women's and Children's Hospital,Singapore,Singapore
lee-c--sim-s#vector_borne,lee-c--sim-s,lee-c,sim-s,vector_borne,4,"Lee, Caleb","Sim, Shuzhen","Agency for Science, Technology and Research",Environmental Health Institute,Singapore,Singapore
lee-c--tan-c#vector_borne,lee-c--tan-c,lee-c,tan-c,vector_borne,4,"Lee, Caleb","Tan, Cheong Huat","Agency for Science, Technology and Research",Nanyang Technological University,Singapore,Singapore
lee-c--tan-l#vector_borne,lee-c--tan-l,lee-c,tan-l,vector_borne,4,"Lee, Caleb","Tan, Li Yun","Agency for Science, Technology and Research",,Singapore,United States
lim-j--ng-y#vector_borne,lim-j--ng-y,lim-j,ng-y,vector_borne,4,"Lim, Jue Tao","Ng, Youming",Nanyang Technological University,KK Women's and Children's Hospital,Singapore,Singapore
lim-j--sim-s#vector_borne,lim-j--sim-s,lim-j,sim-s,vector_borne,4,"Lim, Jue Tao","Sim, Shuzhen",Nanyang Technological University,Environmental Health Institute,Singapore,Singapore
