uid,domain_id,subdomain_id,subdomain_label,is_primary,vocabulary_rank,year
doi:10.1016/j.jconrel.2026.115136,rti,COVID-19 Vaccines,COVID-19 Vaccines,0,3,2026
doi:10.1016/j.mimet.2026.107668,rti,other,Other/unspecified,1,,2026
doi:10.1128/jvi.00540-26,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.jinf.2026.106765,amr_hai,other,Other/unspecified,1,,2026
doi:10.3389/fpubh.2026.1838184,rti,SARS-CoV-2,SARS-CoV-2,1,2,2026
doi:10.1007/s13555-026-01809-8,tb,other,Other/unspecified,1,,2026
doi:10.1016/j.pedneo.2026.04.010,rti,other,Other/unspecified,1,,2026
doi:10.1371/journal.pntd.0014318,vector_borne,other,Other/unspecified,1,,2026
doi:10.12968/jowc.2023.0112,amr_hai,Surgical Wound Infection,Surgical Wound Infection,1,7,2026
doi:10.1038/s41467-026-74032-w,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1,2,2026
doi:10.1038/s41467-026-74032-w,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1021/acsinfecdis.6c00309,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1021/acsinfecdis.6c00309,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1128/spectrum.03669-25,vector_borne,Dengue,Dengue,1,1,2026
doi:10.1128/spectrum.03669-25,vector_borne,Dengue Virus,Dengue Virus,0,4,2026
doi:10.1128/spectrum.03669-25,vector_borne,Viral Nonstructural Proteins,Viral Nonstructural Proteins,0,10,2026
doi:10.1038/s41541-026-01519-4,vector_borne,other,Other/unspecified,1,,2026
doi:10.1038/s41467-026-75524-5,amr_hai,Escherichia coli,Escherichia coli,1,8,2026
doi:10.1186/s12879-026-13489-y,tb,other,Other/unspecified,1,,2026
doi:10.1016/j.biomaterials.2026.124421,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1007/s00604-026-08340-9,sti,other,Other/unspecified,1,,2026
doi:10.1186/s12909-026-09775-7,vector_borne,other,Other/unspecified,1,,2026
doi:10.1186/s13073-026-01655-5,amr_hai,other,Other/unspecified,1,,2026
doi:10.1093/jpids/piag032,tb,other,Other/unspecified,1,,2026
doi:10.64898/2026.05.07.723652,other_id,other,Other/unspecified,1,,2026
doi:10.1038/s41467-026-76156-5,rti,COVID-19,COVID-19,1,1,2026
doi:10.1038/s41467-026-74526-7,rti,Virus Replication,Virus Replication,1,8,2026
doi:10.1016/j.bj.2026.101033,amr_hai,other,Other/unspecified,1,,2026
doi:10.1016/j.vaccine.2026.128513,sti,Papillomavirus Infections,Papillomavirus Infections,1,3,2026
doi:10.1016/j.vaccine.2026.128513,sti,Human Papillomavirus Viruses,Human Papillomavirus Viruses,0,5,2026
doi:10.1016/j.vaccine.2026.128513,sti,Uterine Cervical Neoplasms,Uterine Cervical Neoplasms,0,6,2026
doi:10.1039/d6tb01365a,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1039/d6tb01365a,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1016/j.ijbiomac.2026.153475,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1016/j.ijbiomac.2026.153475,amr_hai,Escherichia coli,Escherichia coli,0,8,2026
doi:10.1177/10872914261423775,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1177/10872914261423775,sti,Qualitative Research,Qualitative Research,0,7,2026
doi:10.1177/10872914261423775,sti,Interviews as Topic,Interviews as Topic,0,12,2026
doi:10.1016/j.ijid.2026.109062,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.mmcr.2026.100815,rti,other,Other/unspecified,1,,2026
doi:10.1111/jcmm.71143,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1007/s00210-026-05627-9,amr_hai,other,Other/unspecified,1,,2026
doi:10.1016/j.ijbiomac.2026.153190,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1016/j.ijbiomac.2026.153190,amr_hai,Methicillin-Resistant Staphylococcus aureus,Methicillin-Resistant Staphylococcus aureus,0,3,2026
doi:10.1128/aac.01561-25,vector_borne,other,Other/unspecified,1,,2026
doi:10.1016/j.ebiom.2026.106290,vector_borne,other,Other/unspecified,1,,2026
doi:10.1016/j.eclinm.2026.104163,rti,other,Other/unspecified,1,,2026
doi:10.1002/jmv.70892,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1097/bot.0000000000003199,amr_hai,Surgical Wound Infection,Surgical Wound Infection,1,7,2026
doi:10.47102/annals-acadmedsg.2025321,tb,Tuberculosis,Tuberculosis,1,3,2026
doi:10.47102/annals-acadmedsg.2025321,tb,"Tuberculosis, Pulmonary","Tuberculosis, Pulmonary",0,4,2026
doi:10.1017/ash.2025.10149,amr_hai,other,Other/unspecified,1,,2026
doi:10.3390/pathogens15040437,vector_borne,other,Other/unspecified,1,,2026
doi:10.1128/spectrum.01571-26,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1128/spectrum.01571-26,amr_hai,Bacteremia,Bacteremia,0,5,2026
doi:10.1128/spectrum.01571-26,amr_hai,Bacteria,Bacteria,0,11,2026
doi:10.1016/j.jhin.2026.08.011,amr_hai,other,Other/unspecified,1,,2026
doi:10.4103/singaporemedj.smj-2025-222,rti,other,Other/unspecified,1,,2026
doi:10.1126/sciimmunol.adz5647,vector_borne,Zika Virus,Zika Virus,1,5,2026
doi:10.1126/sciimmunol.adz5647,vector_borne,Zika Virus Infection,Zika Virus Infection,0,9,2026
doi:10.1371/journal.pgph.0006971,tb,other,Other/unspecified,1,,2026
doi:10.1093/jimmun/vkag189,rti,COVID-19,COVID-19,1,1,2026
doi:10.1093/jimmun/vkag189,rti,SARS-CoV-2,SARS-CoV-2,0,2,2026
doi:10.1093/jimmun/vkag189,rti,Antiviral Agents,Antiviral Agents,0,5,2026
doi:10.1093/jimmun/vkag189,rti,B-Lymphocytes,B-Lymphocytes,0,11,2026
doi:10.3390/antibiotics15070671,amr_hai,other,Other/unspecified,1,,2026
doi:10.1080/21505594.2026.2711530,vector_borne,other,Other/unspecified,1,,2026
doi:10.1001/jamadermatol.2026.0308,sti,Papillomavirus Infections,Papillomavirus Infections,1,3,2026
doi:10.1001/jamadermatol.2026.0308,sti,Human Papillomavirus Viruses,Human Papillomavirus Viruses,0,5,2026
doi:10.1001/jamadermatol.2026.0308,sti,Viral Load,Viral Load,0,8,2026
doi:10.1038/s44528-026-00009-2,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.idm.2026.03.002,sti,other,Other/unspecified,1,,2026
