edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
Harvard University--World Health Organization#tb,Harvard University--World Health Organization,Harvard University,World Health Organization,tb,3,United States,Switzerland,North America,Europe,1,0
London School of Hygiene & Tropical Medicine--World Health Organization#tb,London School of Hygiene & Tropical Medicine--World Health Organization,London School of Hygiene & Tropical Medicine,World Health Organization,tb,3,United Kingdom,Switzerland,Europe,Europe,1,0
Nanyang Technological University--National Environment Agency#vector_borne,Nanyang Technological University--National Environment Agency,Nanyang Technological University,National Environment Agency,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Environment Agency--National University of Singapore#vector_borne,National Environment Agency--National University of Singapore,National Environment Agency,National University of Singapore,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--University of Melbourne#vector_borne,National University of Singapore--University of Melbourne,National University of Singapore,University of Melbourne,vector_borne,3,Singapore,Australia,Southeast Asia,Oceania,1,1
National University of Singapore--Singapore Food Agency#amr_hai,National University of Singapore--Singapore Food Agency,National University of Singapore,Singapore Food Agency,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--Nanyang Technological University#rti,Communicable Diseases Agency--Nanyang Technological University,Communicable Diseases Agency,Nanyang Technological University,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--National Centre for Infectious Diseases#rti,Communicable Diseases Agency--National Centre for Infectious Diseases,Communicable Diseases Agency,National Centre for Infectious Diseases,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--National University of Singapore#rti,Communicable Diseases Agency--National University of Singapore,Communicable Diseases Agency,National University of Singapore,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--Singapore General Hospital#rti,Communicable Diseases Agency--Singapore General Hospital,Communicable Diseases Agency,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--Tan Tock Seng Hospital#rti,Communicable Diseases Agency--Tan Tock Seng Hospital,Communicable Diseases Agency,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--Nanyang Technological University#rti,KK Women's and Children's Hospital--Nanyang Technological University,KK Women's and Children's Hospital,Nanyang Technological University,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--National University Health System#rti,KK Women's and Children's Hospital--National University Health System,KK Women's and Children's Hospital,National University Health System,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--National University Hospital#rti,KK Women's and Children's Hospital--National University Hospital,KK Women's and Children's Hospital,National University Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--Singapore General Hospital#rti,KK Women's and Children's Hospital--Singapore General Hospital,KK Women's and Children's Hospital,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National Centre for Infectious Diseases#rti,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Singapore General Hospital#rti,Nanyang Technological University--Singapore General Hospital,Nanyang Technological University,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Tan Tock Seng Hospital#rti,Nanyang Technological University--Tan Tock Seng Hospital,Nanyang Technological University,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Singapore General Hospital#rti,National Centre for Infectious Diseases--Singapore General Hospital,National Centre for Infectious Diseases,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#rti,National Centre for Infectious Diseases--Tan Tock Seng Hospital,National Centre for Infectious Diseases,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--National University Hospital#rti,National University Health System--National University Hospital,National University Health System,National University Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
