uid,domain_id,domain_label,is_primary,domain_score,year,singapore_led
doi:10.1183/13993003.00989-2026,tb,Tuberculosis,1,6,2026,0
doi:10.1038/s41371-026-01194-x,rti,Respiratory-tract infections,1,15,2026,1
doi:10.1016/j.transci.2026.104429,sti,Sexually-transmitted infections,1,21,2026,0
doi:10.3390/antibiotics15050423,amr_hai,AMR and healthcare-associated infections,1,15,2026,0
doi:10.1016/j.watres.2026.126336,amr_hai,AMR and healthcare-associated infections,1,28,2026,1
doi:10.1186/s12889-026-27217-3,sti,Sexually-transmitted infections,1,25,2026,0
doi:10.1177/00494755261479116,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.3389/fimmu.2026.1841974,rti,Respiratory-tract infections,1,18,2026,1
doi:10.4269/ajtmh.26-0159,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.1002/resp.70302,rti,Respiratory-tract infections,1,18,2026,1
doi:10.5527/wjn.v15.i2.118214,rti,Respiratory-tract infections,1,33,2026,1
doi:10.1016/j.drugpo.2026.105306,sti,Sexually-transmitted infections,1,14,2026,1
doi:10.1007/s10461-026-05097-3,sti,Sexually-transmitted infections,1,14,2026,1
doi:10.1183/13993003.00858-2026,tb,Tuberculosis,1,6,2026,1
doi:10.1136/bmjph-2025-004042,sti,Sexually-transmitted infections,1,15,2026,1
doi:10.25259/ijpc_285_2025,rti,Respiratory-tract infections,1,6,2026,0
doi:10.1016/j.vaccine.2026.128983,rti,Respiratory-tract infections,1,52,2026,1
doi:10.1016/j.eclinm.2026.103871,vector_borne,Vector-borne diseases,1,12,2026,0
doi:10.1097/qai.0000000000003874,sti,Sexually-transmitted infections,1,15,2026,0
doi:10.1016/j.jconrel.2026.115136,rti,Respiratory-tract infections,1,38,2026,1
doi:10.1016/j.mimet.2026.107668,rti,Respiratory-tract infections,1,6,2026,0
doi:10.1128/jvi.00540-26,rti,Respiratory-tract infections,1,22,2026,1
doi:10.1016/j.jinf.2026.106765,amr_hai,AMR and healthcare-associated infections,1,35,2026,0
doi:10.3389/fpubh.2026.1838184,rti,Respiratory-tract infections,1,22,2026,0
doi:10.1007/s13555-026-01809-8,tb,Tuberculosis,1,11,2026,0
doi:10.1016/j.pedneo.2026.04.010,rti,Respiratory-tract infections,1,12,2026,1
doi:10.1371/journal.pntd.0014318,vector_borne,Vector-borne diseases,1,15,2026,0
doi:10.1371/journal.pntd.0014318,amr_hai,AMR and healthcare-associated infections,0,4,2026,0
doi:10.12968/jowc.2023.0112,amr_hai,AMR and healthcare-associated infections,1,12,2026,1
doi:10.1038/s41467-026-74032-w,tb,Tuberculosis,1,26,2026,0
doi:10.1021/acsinfecdis.6c00309,amr_hai,AMR and healthcare-associated infections,1,13,2026,1
doi:10.1021/acsinfecdis.6c00309,tb,Tuberculosis,0,6,2026,1
doi:10.1128/spectrum.03669-25,vector_borne,Vector-borne diseases,1,25,2026,1
doi:10.1038/s41541-026-01519-4,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.1038/s41467-026-75524-5,amr_hai,AMR and healthcare-associated infections,1,6,2026,1
doi:10.1186/s12879-026-13489-y,tb,Tuberculosis,1,8,2026,1
doi:10.1016/j.biomaterials.2026.124421,amr_hai,AMR and healthcare-associated infections,1,4,2026,1
doi:10.1007/s00604-026-08340-9,sti,Sexually-transmitted infections,1,9,2026,0
doi:10.1186/s12909-026-09775-7,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.1186/s13073-026-01655-5,amr_hai,AMR and healthcare-associated infections,1,5,2026,1
doi:10.1093/jpids/piag032,tb,Tuberculosis,1,16,2026,1
doi:10.64898/2026.05.07.723652,other_id,Other infectious disease,1,,2026,1
doi:10.1038/s41467-026-76156-5,rti,Respiratory-tract infections,1,26,2026,0
doi:10.1038/s41467-026-74526-7,rti,Respiratory-tract infections,1,6,2026,1
doi:10.1016/j.bj.2026.101033,amr_hai,AMR and healthcare-associated infections,1,12,2026,0
doi:10.1016/j.vaccine.2026.128513,sti,Sexually-transmitted infections,1,18,2026,1
doi:10.1039/d6tb01365a,amr_hai,AMR and healthcare-associated infections,1,4,2026,1
doi:10.1016/j.ijbiomac.2026.153475,amr_hai,AMR and healthcare-associated infections,1,4,2026,1
doi:10.1177/10872914261423775,sti,Sexually-transmitted infections,1,22,2026,0
doi:10.1016/j.ijid.2026.109062,rti,Respiratory-tract infections,1,22,2026,1
doi:10.1016/j.mmcr.2026.100815,rti,Respiratory-tract infections,1,21,2026,1
doi:10.1111/jcmm.71143,sti,Sexually-transmitted infections,1,12,2026,0
doi:10.1007/s00210-026-05627-9,amr_hai,AMR and healthcare-associated infections,1,34,2026,0
doi:10.1016/j.ijbiomac.2026.153190,amr_hai,AMR and healthcare-associated infections,1,31,2026,0
doi:10.1128/aac.01561-25,vector_borne,Vector-borne diseases,1,24,2026,0
doi:10.1016/j.ebiom.2026.106290,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.1016/j.eclinm.2026.104163,rti,Respiratory-tract infections,1,14,2026,0
doi:10.1002/jmv.70892,sti,Sexually-transmitted infections,1,12,2026,0
doi:10.1097/bot.0000000000003199,amr_hai,AMR and healthcare-associated infections,1,14,2026,0
doi:10.47102/annals-acadmedsg.2025321,tb,Tuberculosis,1,20,2026,1
