uid,type_id,type_label,type_score,year,primary_domain
doi:10.1016/j.ijid.2026.109080,surveillance_epidemiology,Surveillance and epidemiology,10,2026,rti
doi:10.1097/jnr.0000000000000757,infection_prevention_control,Infection prevention and control,12,2026,rti
doi:10.1177/09564624261440693,surveillance_epidemiology,Surveillance and epidemiology,18,2026,sti
doi:10.1177/09564624261440693,treatment,Treatment,4,2026,sti
doi:10.1111/imcb.70135,immunology,Immunology,4,2026,other_id
doi:10.3389/fimmu.2026.1824198,immunology,Immunology,4,2026,other_id
doi:10.3389/fimmu.2026.1824198,disease_management,Disease management,3,2026,other_id
doi:10.4269/ajtmh.25-0311,surveillance_epidemiology,Surveillance and epidemiology,5,2026,vector_borne
doi:10.1016/j.lanwpc.2026.101917,clinical_studies,Clinical studies,3,2026,amr_hai
doi:10.1016/j.lanwpc.2026.101917,infection_prevention_control,Infection prevention and control,3,2026,amr_hai
doi:10.1136/bjo-2026-329771,treatment,Treatment,3,2026,amr_hai
doi:10.1002/cpz1.70454,genomics,Genomics,11,2026,amr_hai
doi:10.1128/spectrum.03617-25,detection,Detection,17,2026,amr_hai
doi:10.1371/journal.pgph.0006151,vaccine,Vaccine,3,2026,sti
doi:10.1038/s41564-026-02439-8,entomology,Entomology,16,2026,vector_borne
doi:10.1038/s41564-026-02439-8,clinical_studies,Clinical studies,3,2026,vector_borne
doi:10.1136/bmjresp-2026-004413,clinical_studies,Clinical studies,8,2026,tb
doi:10.1186/s12879-026-14123-7,treatment,Treatment,8,2026,other_id
doi:10.1017/s0950268826101411,surveillance_epidemiology,Surveillance and epidemiology,4,2026,rti
doi:10.1038/s41598-026-56516-3,infection_prevention_control,Infection prevention and control,6,2026,amr_hai
doi:10.1016/j.actatropica.2026.108314,entomology,Entomology,11,2026,vector_borne
doi:10.1111/irv.70269,treatment,Treatment,7,2026,rti
doi:10.1111/irv.70269,surveillance_epidemiology,Surveillance and epidemiology,6,2026,rti
doi:10.1111/irv.70269,disease_management,Disease management,3,2026,rti
doi:10.3389/fimmu.2026.1828107,basic_research,Basic research,4,2026,rti
doi:10.1016/j.ijid.2026.108860,case_study,Case study,6,2026,tb
doi:10.1136/fmch-2026-004076,clinical_studies,Clinical studies,3,2026,rti
doi:10.1371/journal.ppat.1014190,virology,Virology,6,2026,vector_borne
doi:10.1371/journal.ppat.1014190,entomology,Entomology,4,2026,vector_borne
doi:10.1371/journal.ppat.1014190,treatment,Treatment,4,2026,vector_borne
doi:10.1016/j.jsb.2026.108314,basic_research,Basic research,3,2026,vector_borne
doi:10.1038/s43856-026-01678-4,clinical_studies,Clinical studies,6,2026,other_id
doi:10.1038/s43856-026-01678-4,immunology,Immunology,3,2026,other_id
doi:10.7189/jogh.16.04100,outbreak_management,Outbreak management,12,2026,tb
doi:10.1155/carm/1612186,case_study,Case study,6,2026,rti
doi:10.1016/j.ijid.2026.108932,immunology,Immunology,11,2026,rti
doi:10.1371/journal.pmed.1005205,clinical_studies,Clinical studies,6,2026,amr_hai
doi:10.1093/ofid/ofag422,detection,Detection,12,2026,vector_borne
doi:10.1093/ofid/ofag422,surveillance_epidemiology,Surveillance and epidemiology,3,2026,vector_borne
doi:10.3390/pathogens15050511,entomology,Entomology,7,2026,vector_borne
doi:10.3390/pathogens15050511,surveillance_epidemiology,Surveillance and epidemiology,3,2026,vector_borne
doi:10.1017/ash.2026.10298,infection_prevention_control,Infection prevention and control,6,2026,amr_hai
doi:10.1017/ash.2026.10298,surveillance_epidemiology,Surveillance and epidemiology,3,2026,amr_hai
doi:10.1371/journal.pntd.0014382,treatment,Treatment,7,2026,vector_borne
doi:10.1016/j.actatropica.2026.108305,entomology,Entomology,4,2026,vector_borne
doi:10.1016/j.actatropica.2026.108305,surveillance_epidemiology,Surveillance and epidemiology,3,2026,vector_borne
doi:10.1093/jac/dkag215,clinical_studies,Clinical studies,6,2026,amr_hai
doi:10.1093/cid/ciag538,clinical_studies,Clinical studies,7,2026,other_id
doi:10.1080/22221751.2026.2665001,detection,Detection,12,2026,other_id
doi:10.1080/22221751.2026.2665001,immunology,Immunology,10,2026,other_id
doi:10.47102/annals-acadmedsg.2026237,infection_prevention_control,Infection prevention and control,18,2026,amr_hai
doi:10.47102/annals-acadmedsg.2026237,vaccine,Vaccine,8,2026,amr_hai
doi:10.1038/s41598-026-55917-8,treatment,Treatment,8,2026,tb
doi:10.1038/s44321-026-00378-9,treatment,Treatment,6,2026,tb
doi:10.1128/mbio.03518-25,surveillance_epidemiology,Surveillance and epidemiology,3,2026,amr_hai
doi:10.3390/insects17070716,entomology,Entomology,10,2026,vector_borne
doi:10.7759/cureus.101901,case_study,Case study,6,2026,sti
doi:10.1016/j.mtbio.2026.103530,infection_prevention_control,Infection prevention and control,3,2026,other_id
doi:10.1016/j.socscimed.2026.119146,surveillance_epidemiology,Surveillance and epidemiology,14,2026,sti
doi:10.3390/insects17080770,entomology,Entomology,8,2026,vector_borne
doi:10.1080/21505594.2025.2580163,entomology,Entomology,12,2025,vector_borne
doi:10.1080/21505594.2025.2580163,virology,Virology,6,2025,vector_borne
doi:10.1080/21505594.2025.2580163,basic_research,Basic research,4,2025,vector_borne
doi:10.1016/s1473-3099(24)00794-1,outbreak_management,Outbreak management,4,2025,vector_borne
doi:10.1016/s1473-3099(24)00794-1,surveillance_epidemiology,Surveillance and epidemiology,3,2025,vector_borne
doi:10.1016/j.survophthal.2025.09.011,detection,Detection,3,2025,tb
doi:10.1016/j.ajic.2025.11.002,infection_prevention_control,Infection prevention and control,18,2025,rti
doi:10.1016/j.ajic.2025.11.002,surveillance_epidemiology,Surveillance and epidemiology,3,2025,rti
doi:10.1186/s13063-025-08887-7,clinical_studies,Clinical studies,6,2025,tb
doi:10.1093/cid/ciae601,surveillance_epidemiology,Surveillance and epidemiology,4,2025,tb
