edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
Oxford University Clinical Research Unit--University of Oxford#amr_hai,Oxford University Clinical Research Unit--University of Oxford,amr_hai,1,Oxford University Clinical Research Unit,Oxford University Clinical Research Unit,0.703504,0.365802,4,Oxford University Clinical Research Unit,University of Oxford,1,0
Oxford University Clinical Research Unit--University of Oxford#amr_hai,Oxford University Clinical Research Unit--University of Oxford,amr_hai,2,University of Oxford,University of Oxford,0.658401,0.434596,4,Oxford University Clinical Research Unit,University of Oxford,1,0
Duke-NUS Medical School--National University of Singapore#rti,Duke-NUS Medical School--National University of Singapore,rti,1,Duke-NUS Medical School,Duke-NUS Medical School,0.465633,0.441401,4,Duke-NUS Medical School,National University of Singapore,0,1
Duke-NUS Medical School--National University of Singapore#rti,Duke-NUS Medical School--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,4,Duke-NUS Medical School,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#other_id,Nanyang Technological University--National University of Singapore,other_id,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,4,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#other_id,Nanyang Technological University--National University of Singapore,other_id,2,National University of Singapore,National University of Singapore,0.59751,0.507684,4,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--Tan Tock Seng Hospital#amr_hai,Nanyang Technological University--Tan Tock Seng Hospital,amr_hai,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,4,Nanyang Technological University,Tan Tock Seng Hospital,0,1
Nanyang Technological University--Tan Tock Seng Hospital#amr_hai,Nanyang Technological University--Tan Tock Seng Hospital,amr_hai,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,4,Nanyang Technological University,Tan Tock Seng Hospital,0,1
National University of Singapore--Tan Tock Seng Hospital#tb,National University of Singapore--Tan Tock Seng Hospital,tb,1,National University of Singapore,National University of Singapore,0.59751,0.507684,4,National University of Singapore,Tan Tock Seng Hospital,0,1
National University of Singapore--Tan Tock Seng Hospital#tb,National University of Singapore--Tan Tock Seng Hospital,tb,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,4,National University of Singapore,Tan Tock Seng Hospital,0,1
Singapore General Hospital--Tan Tock Seng Hospital#tb,Singapore General Hospital--Tan Tock Seng Hospital,tb,1,Singapore General Hospital,Singapore General Hospital,0.475209,0.374832,4,Singapore General Hospital,Tan Tock Seng Hospital,0,1
